level;butce;dalga;metal_gelir;kristal_gelir;metal_birikim;kristal_birikim;dalga_ehp;oyuncu_dps;temizleme_sn;kadro
24;12.92;3;50.32;0;763.08;0;316.95;36.33;8.72;enemy.type.swarm×5,1 enemy.type.armored×0,4 enemy.type.shield×0,4 enemy.type.barrier×0,1
25;13.27;3;51.64;0;814.72;0;322.35;36.32;8.87;enemy.type.swarm×5,1 enemy.type.shield×0,4 enemy.type.armored×0,4 enemy.type.barrier×0,1
26;13.63;3;55.72;0;870.43;0;352.24;36.57;9.63;enemy.type.swarm×4,6 enemy.type.shield×0,5 enemy.type.armored×0,5 enemy.type.barrier×0,2
27;13.99;3;57.17;0;927.61;0;359.51;36.57;9.83;enemy.type.swarm×4,4 enemy.type.shield×0,5 enemy.type.armored×0,5 enemy.type.barrier×0,3
28;14.37;3;58.67;0;986.27;0;364.26;45.37;8.03;enemy.type.swarm×4,5 enemy.type.shield×0,6 enemy.type.armored×0,4 enemy.type.barrier×0,2
29;14.76;3;63.1;0;1049.38;0;398.46;45.61;8.74;enemy.type.swarm×4,0 enemy.type.shield×0,6 enemy.type.armored×0,4 enemy.type.barrier×0,4
30;15.16;3;64.75;0;1114.12;0;396.16;45.83;8.64;enemy.type.swarm×4,1 enemy.type.shield×0,7 enemy.type.armored×0,5 enemy.type.barrier×0,3
31;15.57;3;69.46;0;1183.58;0;293.55;45.26;6.49;enemy.type.swarm×2,4 enemy.type.bomber×0,4 enemy.type.shield×0,4 enemy.type.bombRunner×0,3
32;15.99;3;71.26;0;1254.84;0;294.66;56.63;5.2;enemy.type.swarm×2,4 enemy.type.bomber×0,5 enemy.type.shield×0,4 enemy.type.armored×0,3
33;16.42;3;73.11;0;1327.96;0;298.38;57.19;5.22;enemy.type.swarm×2,4 enemy.type.shield×0,5 enemy.type.bomber×0,4 enemy.type.armored×0,3
34;16.86;3;78.24;0;1406.2;0;345.05;56.89;6.07;enemy.type.swarm×3,2 enemy.type.bomber×0,5 enemy.type.shield×0,4 enemy.type.armored×0,4
35;17.32;3;80.27;0;1486.47;0;354.59;56.35;6.29;enemy.type.swarm×3,2 enemy.type.bomber×0,5 enemy.type.shield×0,5 enemy.type.armored×0,3
36;17.79;3;85.72;0;1572.19;0;401.96;56.79;7.08;enemy.type.swarm×3,8 enemy.type.shield×0,4 enemy.type.bomber×0,4 enemy.type.armored×0,4
37;18.27;3;87.93;0;1660.12;0;401.82;56.78;7.08;enemy.type.swarm×3,8 enemy.type.bomber×0,5 enemy.type.armored×0,4 enemy.type.shield×0,4
38;18.76;3;93.73;0;1753.85;0;431.14;71.39;6.04;enemy.type.swarm×3,6 enemy.type.bomber×0,5 enemy.type.armored×0,4 enemy.type.shield×0,4
39;19.27;3;96.14;0;1849.99;0;415.51;71.24;5.83;enemy.type.swarm×3,3 enemy.type.bomber×0,7 enemy.type.shield×0,5 enemy.type.armored×0,4
40;19.79;3;102.29;0;1952.28;0;425.47;71.86;5.92;enemy.type.swarm×2,8 enemy.type.bomber×0,6 enemy.type.shield×0,4 enemy.type.armored×0,4
41;20.32;3;104.92;0;2057.2;0;467.95;71.9;6.51;enemy.type.swarm×2,5 enemy.type.interceptor×0,9 enemy.type.bomber×0,6 enemy.type.armored×0,5
42;20.87;3;111.45;0;2168.65;0;494.85;90.08;5.49;enemy.type.swarm×2,3 enemy.type.interceptor×1,0 enemy.type.bomber×0,7 enemy.type.shield×0,5
43;21.43;3;114.31;0;2282.96;0;504.79;89.7;5.63;enemy.type.swarm×2,4 enemy.type.interceptor×1,0 enemy.type.bomber×0,6 enemy.type.shield×0,6
44;22.01;3;121.25;0;2404.21;0;552.97;91.05;6.07;enemy.type.swarm×2,4 enemy.type.interceptor×0,9 enemy.type.bomber×0,6 enemy.type.armored×0,6
45;22.6;3;128.45;0;2532.66;0;584.11;90.23;6.47;enemy.type.swarm×2,7 enemy.type.interceptor×0,8 enemy.type.bomber×0,7 enemy.type.shield×0,7
46;23.21;3;131.72;0;2664.37;0;611.72;91.07;6.72;enemy.type.swarm×2,5 enemy.type.interceptor×0,8 enemy.type.shield×0,7 enemy.type.armored×0,6
47;23.84;3;139.36;0;2803.73;0;639.41;90.66;7.05;enemy.type.swarm×2,5 enemy.type.interceptor×0,9 enemy.type.shield×0,8 enemy.type.bomber×0,6
48;24.49;3;142.9;0;2946.63;0;651.02;113.56;5.73;enemy.type.swarm×2,5 enemy.type.interceptor×0,9 enemy.type.bomber×0,7 enemy.type.shield×0,7
49;25.15;3;151.01;0;3097.64;0;675.58;114.37;5.91;enemy.type.swarm×2,4 enemy.type.interceptor×0,9 enemy.type.bomber×0,7 enemy.type.shield×0,7
50;25.83;4;159.42;0;3257.06;0;722.76;113.54;6.37;enemy.type.swarm×2,6 enemy.type.interceptor×1,0 enemy.type.bomber×0,8 enemy.type.shield×0,7
51;26.52;4;168.12;0;3425.18;0;812.61;112.62;7.22;enemy.type.swarm×2,5 enemy.type.interceptor×1,1 enemy.type.shield×0,7 enemy.type.artillery×0,6
52;27.24;4;172.37;0;3597.55;0;808.26;141.1;5.73;enemy.type.swarm×2,4 enemy.type.interceptor×1,1 enemy.type.shield×0,7 enemy.type.artillery×0,7
53;27.97;4;181.61;0;3779.16;0;870.75;141.81;6.14;enemy.type.swarm×2,6 enemy.type.interceptor×1,0 enemy.type.shield×0,7 enemy.type.artillery×0,7
54;28.73;4;191.18;0;3970.33;0;905.84;143.18;6.33;enemy.type.swarm×2,5 enemy.type.interceptor×1,0 enemy.type.artillery×0,7 enemy.type.armored×0,7
55;29.51;4;201.09;0;4171.42;0;953.85;143.45;6.65;enemy.type.swarm×2,6 enemy.type.interceptor×1,0 enemy.type.shield×0,8 enemy.type.armored×0,8
56;30.3;4;206.14;0;4377.55;0;981.84;141.35;6.95;enemy.type.swarm×2,8 enemy.type.interceptor×1,2 enemy.type.shield×0,8 enemy.type.artillery×0,7
57;31.12;4;216.64;0;4594.2;0;1031;141.71;7.28;enemy.type.swarm×2,7 enemy.type.interceptor×1,1 enemy.type.shield×0,8 enemy.type.artillery×0,8
58;31.96;4;227.52;0;4821.72;0;1089.05;178.39;6.1;enemy.type.swarm×2,6 enemy.type.interceptor×1,3 enemy.type.shield×0,9 enemy.type.armored×0,8
59;32.82;4;238.79;0;5060.51;0;1148.65;178.39;6.44;enemy.type.swarm×2,5 enemy.type.interceptor×1,1 enemy.type.shield×1,0 enemy.type.armored×0,8
60;33.71;4;250.45;0;5310.96;0;1213.03;178.9;6.78;enemy.type.swarm×2,8 enemy.type.interceptor×1,2 enemy.type.shield×0,9 enemy.type.armored×0,8
61;34.62;4;262.51;0;5573.46;0;1057.02;176.1;6;enemy.type.swarm×2,7 enemy.type.interceptor×1,3 enemy.type.phantom×0,8 enemy.type.jammer×0,8
62;35.55;4;274.99;0;5848.46;0;1116.67;176.4;6.33;enemy.type.swarm×2,8 enemy.type.interceptor×1,4 enemy.type.artillery×0,8 enemy.type.jammer×0,8
63;36.51;4;287.91;0;6136.36;0;1187.27;220.96;5.37;enemy.type.swarm×3,1 enemy.type.interceptor×1,3 enemy.type.phantom×0,9 enemy.type.jammer×0,8
64;37.5;4;301.27;0;6437.63;0;1228.6;222.09;5.53;enemy.type.swarm×2,8 enemy.type.interceptor×1,3 enemy.type.artillery×0,9 enemy.type.phantom×0,9
65;38.51;4;315.09;0;6752.72;0;1294.43;225.42;5.74;enemy.type.swarm×2,7 enemy.type.interceptor×1,3 enemy.type.armored×0,9 enemy.type.jammer×0,8
66;39.55;4;329.38;0;7082.1;0;1351.76;222.83;6.07;enemy.type.swarm×2,9 enemy.type.interceptor×1,3 enemy.type.phantom×1,0 enemy.type.armored×0,9
67;40.62;4;344.16;0;7426.27;0;1407.87;220.35;6.39;enemy.type.swarm×3,0 enemy.type.interceptor×1,5 enemy.type.phantom×1,0 enemy.type.jammer×0,9
68;41.72;4;359.45;0;7785.72;0;1501.41;223.29;6.72;enemy.type.swarm×3,2 enemy.type.interceptor×1,3 enemy.type.artillery×1,0 enemy.type.armored×0,9
69;42.84;4;375.25;0;8160.97;0;1557.1;279.16;5.58;enemy.type.swarm×3,1 enemy.type.interceptor×1,6 enemy.type.phantom×1,0 enemy.type.jammer×0,9
70;44;4;391.59;0;8552.55;0;1613.88;279.21;5.78;enemy.type.swarm×3,0 enemy.type.interceptor×1,5 enemy.type.phantom×1,0 enemy.type.armored×0,9
71;45.19;4;408.47;0;8961.03;0;1862.98;276.62;6.73;enemy.type.swarm×2,7 enemy.type.interceptor×1,1 enemy.type.shield×0,9 enemy.type.armored×0,8
72;46.41;4;425.93;0;9386.96;0;1939.37;276.96;7;enemy.type.swarm×2,6 enemy.type.interceptor×1,1 enemy.type.shield×0,9 enemy.type.armored×0,9
73;47.66;4;451.51;0;9838.47;0;2018.98;274.2;7.36;enemy.type.swarm×2,4 enemy.type.interceptor×1,4 enemy.type.shield×0,9 enemy.type.jammer×0,9
74;48.95;4;470.32;0;10308.79;0;2135.33;344.47;6.2;enemy.type.swarm×2,6 enemy.type.interceptor×1,1 enemy.type.leech×0,9 enemy.type.armored×0,8
75;50.27;4;489.75;0;10798.54;0;2217.37;344.52;6.44;enemy.type.swarm×2,6 enemy.type.interceptor×1,3 enemy.type.leech×1,0 enemy.type.shield×0,9
76;51.63;4;517.88;0;11316.41;0;2324.7;341.93;6.8;enemy.type.swarm×2,6 enemy.type.interceptor×1,4 enemy.type.leech×1,1 enemy.type.shield×0,9
77;53.02;4;538.79;0;11855.21;0;2452.27;343.62;7.14;enemy.type.swarm×2,6 enemy.type.interceptor×1,2 enemy.type.shield×1,0 enemy.type.jammer×0,9
78;54.45;4;560.39;0;12415.6;0;2549.82;346.29;7.36;enemy.type.swarm×2,8 enemy.type.interceptor×1,3 enemy.type.leech×1,1 enemy.type.armored×1,0
79;55.92;4;591.3;0;13006.89;0;2717.39;347.23;7.83;enemy.type.swarm×2,9 enemy.type.interceptor×1,3 enemy.type.leech×1,1 enemy.type.armored×1,1
80;57.43;4;614.52;0;13621.41;0;2799.99;431.94;6.48;enemy.type.swarm×2,9 enemy.type.interceptor×1,4 enemy.type.leech×1,0 enemy.type.armored×1,0
81;58.98;4;647.48;0;14268.89;0;2951.04;432.4;6.82;enemy.type.swarm×3,0 enemy.type.interceptor×1,5 enemy.type.phantom×1,2 enemy.type.artillery×1,2
82;60.58;4;681.61;0;14950.5;0;3126.55;432.33;7.23;enemy.type.swarm×3,0 enemy.type.interceptor×1,5 enemy.type.phantom×1,2 enemy.type.splitter×1,2
83;62.21;4;707.57;0;15658.07;0;3280.38;435.07;7.54;enemy.type.swarm×3,2 enemy.type.interceptor×1,7 enemy.type.armored×1,2 enemy.type.phantom×1,2
84;63.89;4;743.95;0;16402.01;0;3427.51;433.1;7.91;enemy.type.swarm×3,0 enemy.type.interceptor×1,7 enemy.type.phantom×1,3 enemy.type.artillery×1,2
85;65.62;4;781.6;0;17183.62;0;3686.83;545.23;6.76;enemy.type.swarm×3,3 enemy.type.interceptor×1,6 enemy.type.splitter×1,4 enemy.type.armored×1,3
86;67.39;4;810.57;0;17994.18;0;3789.02;547.76;6.92;enemy.type.swarm×3,2 enemy.type.interceptor×1,7 enemy.type.phantom×1,3 enemy.type.armored×1,3
87;69.21;4;850.68;0;18844.87;0;3990.57;544.09;7.33;enemy.type.swarm×3,1 enemy.type.interceptor×1,7 enemy.type.splitter×1,4 enemy.type.regenerator×1,3
88;71.08;4;892.2;0;19737.06;0;4181.83;542.86;7.7;enemy.type.swarm×3,2 enemy.type.interceptor×1,8 enemy.type.splitter×1,4 enemy.type.artillery×1,3
89;73;4;935.15;0;20672.21;0;4428.42;545.79;8.11;enemy.type.swarm×3,4 enemy.type.interceptor×1,8 enemy.type.regenerator×1,4 enemy.type.armored×1,4
90;74.97;4;979.58;0;21651.79;0;4578.01;542.26;8.44;enemy.type.swarm×3,3 enemy.type.interceptor×1,7 enemy.type.phantom×1,6 enemy.type.artillery×1,5
91;76.99;4;1011.93;0;22663.72;0;4407.6;685.85;6.43;enemy.type.interceptor×1,4 enemy.type.phantom×0,9 enemy.type.regenerator×0,8 enemy.type.shield×0,8
92;79.07;4;1058.48;0;23722.2;0;4624.59;692.97;6.67;enemy.type.interceptor×1,3 enemy.type.regenerator×0,9 enemy.type.artillery×0,9 enemy.type.phantom×0,8
93;81.2;4;1108.2;0;24830.4;0;4881.3;696;7.01;enemy.type.interceptor×1,3 enemy.type.armored×0,9 enemy.type.artillery×0,9 enemy.type.regenerator×0,9
94;83.4;4;1158.19;0;25988.58;0;5096.08;698.73;7.29;enemy.type.interceptor×1,3 enemy.type.armored×1,0 enemy.type.phantom×0,9 enemy.type.artillery×0,8
95;85.65;4;1222.72;0;27211.3;0;5415.34;697.59;7.76;enemy.type.interceptor×1,3 enemy.type.armored×1,0 enemy.type.phantom×1,0 enemy.type.shield×1,0
96;87.96;4;1275.99;0;28487.29;0;5623.95;860.37;6.54;enemy.type.interceptor×1,2 enemy.type.phantom×1,0 enemy.type.splitter×1,0 enemy.type.shield×1,0
97;90.34;4;1334.36;0;29821.66;0;5924.31;857.28;6.91;enemy.type.interceptor×1,4 enemy.type.shield×1,1 enemy.type.artillery×0,9 enemy.type.splitter×0,9
98;92.77;4;1405.31;0;31226.96;0;6259.91;860.37;7.28;enemy.type.interceptor×1,2 enemy.type.phantom×1,1 enemy.type.jammer×1,0 enemy.type.shield×1,0
99;95.28;4;1464.15;0;32691.11;0;6507.32;862.46;7.55;enemy.type.interceptor×1,5 enemy.type.artillery×1,1 enemy.type.shield×1,0 enemy.type.splitter×1,0
100;97.85;4;1539.33;0;34230.44;0;6894.15;858.5;8.03;enemy.type.interceptor×1,3 enemy.type.shield×1,2 enemy.type.jammer×1,1 enemy.type.splitter×1,1
